相川,千夏,あいかわ,ちなつ,aikawa,chinatsu,Co,23,161cm,43kg,82,56,85,11月11日,蠍座,B型,右,北海道,ｶﾌｪで読書,
愛野,渚,あいの,なぎさ,aino,nagisa,Pa,18,163cm,47kg,84,58,85,8月1日,獅子座,A型,右,愛知,ﾊﾞｽｹｯﾄﾎﾞｰﾙ,
相原,雪乃,あいはら,ゆきの,aihara,yukino,Cu,22,160cm,51kg,92,58,90,2月14日,水瓶座,A型,左,秋田,紅茶,
相葉,夕美,あいば,ゆみ,aiba,yumi,Pa,18,158cm,42kg,81,57,80,4月15日,牡羊座,O型,右,神奈川,ｶﾞｰﾃﾞﾆﾝｸﾞ,木村珠莉
赤城,みりあ,あかぎ,みりあ,akagi,miria,Pa,11,140cm,36kg,75,55,78,4月14日,牡羊座,AB型,左,東京,おしゃべり,黒沢ともよ
赤西,瑛梨華,あかにし,えりか,akanishi,erika,Cu,16,154cm,55kg,92,59,88,7月7日,蟹座,O型,両,岡山,漫才鑑賞,
秋月,律子,あきづき,りつこ,akizuki,ritsuko,Co,19,156cm,43kg,85,57,85,6月23日,蟹座,A型,右,765ﾌﾟﾛﾀﾞｸｼｮﾝ,資格取得、分析・実戦、ﾎﾞﾗﾝﾃｨｱ,若林直美
秋月,涼,あきづき,りょう,akizuki,ryo,Pa,15,162cm,54kg,80,59,80,9月15日,乙女座,O型,右,876ﾌﾟﾛﾀﾞｸｼｮﾝ,掃除とかお料理とか,三瓶由布子
浅野,風香,あさの,ふうか,asano,fuuka,Cu,16,160cm,48kg,88,59,84,2月11日,水瓶座,A型,右,滋賀,小説を書くこと,
浅利,七海,あさり,ななみ,asari,nanami,Co,14,151cm,41kg,78,55,77,10月9日,天秤座,A型,右,青森,釣り・絵日記,
,アナスタシア,,あなすたしあ,,anastasia,Co,15,165cm,43kg,80,54,80,9月19日,乙女座,O型,両,北海道,ﾎｰﾑﾊﾟｰﾃｨ･天体観測,上坂すみれ
安部,菜々,あべ,なな,abe,nana,Cu,永遠の17歳,146cm,40kg,84,57,84,5月15日,牡牛座,O型,右,ｳｻﾐﾝ星,ｳｻﾐﾝ星との交信,三宅麻理恵
天海,春香,あまみ,はるか,amami,haruka,Cu,17,158cm,46kg,83,56,82,4月3日,牡羊座,O型,右,765ﾌﾟﾛﾀﾞｸｼｮﾝ,お菓子作り、ｶﾗｵｹ、長電話,中村繪里子
綾瀬,穂乃香,あやせ,ほのか,ayase,honoka,Co,17,161cm,46kg,85,57,84,5月29日,双子座,A型,右,宮城,ﾊﾞﾚｴ,
荒木,比奈,あらき,ひな,araki,hina,Co,20,157cm,43kg,83,57,82,4月9日,牡羊座,A型,右,神奈川,漫画描く,田辺瑠衣
有浦,柑奈,ありうら,かんな,ariura,kanna,Cu,19,155cm,44kg,78,57,80,3月6日,魚座,O型,右,長崎,ﾗﾌﾞ&ﾋﾟｰｽ,
安斎,都,あんざい,みやこ,anzai,miyako,Cu,16,156cm,41kg,78,55,77,1月6日,山羊座,B型,右,福井,探偵ﾄﾞﾗﾏ・推理小説を見ること,
五十嵐,響子,いがらし,きょうこ,igarashi,kyoko,Cu,15,154cm,43kg,81,58,80,8月10日,獅子座,AB型,右,鳥取,家事全般,種崎敦美
池袋,晶葉,いけぶくろ,あきは,ikebukuro,akiha,Cu,14,148cm,39kg,75,53,74,6月10日,双子座,B型,右,東京,ﾛﾎﾞｯﾄ制作,
伊集院,惠,いじゅういん,めぐみ,ijuuin,megumi,Co,21,160cm,44kg,86,56,81,9月24日,天秤座,O型,左,東京,一人旅,
一ノ瀬,志希,いちのせ,しき,ichinose,shiki,Cu,18,161cm,43kg,83,57,82,5月30日,双子座,O型,右,岩手,観察・ｱﾔしい科学実験・失踪,藍原ことみ
市原,仁奈,いちはら,にな,ichihara,nina,Pa,9,128cm,29kg,61,57,67,2月8日,水瓶座,B型,左,静岡,着ぐるみ集め,久野美咲
,イブ・サンタクロース,,いぶさんたくろーす,,ibusantakurosu,Pa,19,165cm,44kg,81,56,80,12月24日,山羊座,B型,右,ｸﾞﾘｰﾝﾗﾝﾄﾞ,煙突探し,
今井,加奈,いまい,かな,imai,kana,Cu,16,153cm,41kg,81,56,79,3月3日,魚座,O型,右,高知,友達とおしゃべり,
井村,雪菜,いむら,せつな,imura,setsuna,Cu,17,163cm,48kg,85,60,88,8月27日,乙女座,AB型,右,秋田,ﾒｲｸ小物集め,
上田,鈴帆,うえだ,すずほ,ueda,suzuho,Pa,14,156cm,42kg,76,55,79,10月26日,蠍座,O型,右,福岡,裁縫,春野ななみ
氏家,むつみ,うじいえ,むつみ,ujiie,mutsumi,Co,13,152cm,42kg,78,57,80,7月13日,蟹座,AB型,右,栃木,冒険小説を読む・冒険映画を見る事,
梅木,音葉,うめき,おとは,umeki,otoha,Co,19,172cm,49kg,86,58,85,6月20日,双子座,AB型,右,北海道,森林浴・ﾋﾟｱﾉ,
江上,椿,えがみ,つばき,egami,tsubaki,Cu,19,161cm,46kg,80,57,80,2月6日,水瓶座,A型,左,新潟,写真を撮ること,
衛藤,美紗希,えとう,みさき,etou,misaki,Pa,22,160cm,45kg,84,56,80,3月18日,魚座,O型,左,大分,携帯小説、女子力ｱｯﾌﾟ,
海老原,菜帆,えびはら,なほ,ebihara,naho,Pa,17,162cm,58kg,92,65,93,8月3日,獅子座,O型,右,熊本,散歩・和菓子屋さん巡り,
及川,雫,おいかわ,しずく,oikawa,shizuku,Pa,16,170cm,56kg,105,64,92,6月3日,双子座,O型,両,岩手,乳搾り、ﾄﾗｸﾀｰの運転,のぐちゆり
大石,泉,おおいし,いずみ,ohishi,izumi,Co,15,157cm,41kg,83,55,82,11月11日,蠍座,A型,右,静岡,ﾌﾟﾛｸﾞﾗﾐﾝｸﾞ,
太田,優,おおた,ゆう,ohta,yuu,Cu,21,159cm,45kg,89,57,87,1月28日,水瓶座,AB型,両,千葉,犬のﾄﾘﾐﾝｸﾞ、美容,
大槻,唯,おおつき,ゆい,ohtsuki,yui,Pa,17,155cm,42kg,84,56,83,5月7日,牡牛座,B型,左,埼玉,ｶﾗｵｹ,山下七海
大西,由里子,おおにし,ゆりこ,ohnishi,yuriko,Cu,20,156cm,44kg,81,58,83,3月20日,魚座,O型,右,香川,ﾈｯﾄｻｰﾌｨﾝ・読書,
大沼,くるみ,おおぬま,くるみ,ohnuma,kurumi,Cu,13,145cm,40kg,おっきい,ふつう,まぁまぁ,3月30日,牡羊座,A型,右,石川,ﾎﾟｹｯﾄﾃｨｯｼｭ収集、お風呂に入ること,
大原,みちる,おおはら,みちる,ohara,michiru,Cu,15,153cm,40kg,78,55,80,4月12日,牡牛座,O型,右,福井,食べること,
岡崎,泰葉,おかざき,やすは,okazaki,yasuha,Co,16,153cm,43kg,79,55,80,7月16日,蟹座,A型,左,長崎,ﾄﾞｰﾙﾊｳｽ作り,
緒方,智絵里,おがた,ちえり,ogata,chieri,Cu,16,153cm,42kg,79,57,80,6月11日,双子座,A型,右,三重,四葉のｸﾛｰﾊﾞｰ集め,大空直美
奥山,沙織,おくやま,さおり,okuyama,saori,Cu,19,156cm,47kg,83,57,81,6月12日,双子座,B型,右,秋田,読書,
乙倉,悠貴,おとくら,ゆうき,otokura,yuuki,Cu,13,164cm,40kg,70,53,74,10月6日,天秤座,A型,右,岡山,ﾐｯｸｽｼﾞｭｰｽ作り・ｽｸﾗｯﾌﾟﾌﾞｯｸ作り,中島由貴
