"﻿""カードID(内部ID)""",カードハッシュ,カードID(モバゲーID),カード名,カード別名,アイドルID(内部ID),アイドル名,属性,レアリティ,特訓後,身長,体重,バストサイズ,ウエストサイズ,ヒップサイズ,コスト,初期攻,初期守,最大攻(推定値),最大守(推定値),特技名,メイン特技効果,ダブル特技効果,アイプロ育成アイドル,フリートレード制限中,システム追加日時
1,24db8e0436418b7e45715d6330a49056,2000601,相川千夏,,72,相川千夏,Cool,N,False,161,43,82,56,85,6,600,600,1575,1575,ｸｰﾘｯｼｭｱｸﾄ,,,False,False,2018/10/09 05:41:31
2,bb3b59c3fcb13e67d428def53699f508,2100602,相川千夏+,,72,相川千夏,Cool,N+,True,161,43,82,56,85,6,720,720,2386,2386,ｸｰﾘｯｼｭｱｸﾄ,,,False,False,2018/10/09 05:41:40
3,3839626e54d0ec041b4a9e31daa069e5,2002001,[お花見]相川千夏,,72,相川千夏,Cool,N,False,161,43,82,56,85,10,1120,1200,2940,3150,ｸｰﾘｯｼｭｱｸﾄ,,,False,False,2018/10/09 05:41:42
4,98a7280ce9e419297d6a0732e1e8be21,2102002,[お花見]相川千夏+,,72,相川千夏,Cool,N+,True,161,43,82,56,85,10,1344,1440,4452,4770,ｸｰﾘｯｼｭｱｸﾄ,,,False,False,2018/10/09 05:41:42
5,26374e719939476045d5b68cd97bd71b,2212101,[ロワイヤルスタイル]相川千夏,,72,相川千夏,Cool,R,False,161,43,82,56,85,11,1420,2220,3728,5828,ﾎﾞﾄﾑﾃﾞｨｰﾙ,ｷｭｰﾄ･ｸｰﾙﾀｲﾌﾟの守 小ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
6,5db94845caafaca3cb351938eab38255,2312102,[ロワイヤルスタイル]相川千夏+,,72,相川千夏,Cool,R+,True,161,43,82,56,85,11,1704,2664,5645,8825,ﾎﾞﾄﾑﾃﾞｨｰﾙ,ｷｭｰﾄ･ｸｰﾙﾀｲﾌﾟの守 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
7,adcaecd0e24939267f69f3d5ced30f80,2217401,[メルヘンアニマルズ]相川千夏,,72,相川千夏,Cool,R,False,161,43,82,56,85,12,2620,1900,6878,4988,野生の挑発,ｷｭｰﾄ･ｸｰﾙﾀｲﾌﾟの攻 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
8,d605d715d583a542309c21f213131857,2317402,[メルヘンアニマルズ]相川千夏+,,72,相川千夏,Cool,R+,True,161,43,82,56,85,12,3144,2280,10415,7553,野生の挑発,ｷｭｰﾄ･ｸｰﾙのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 中ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
9,25d429cfd93ad10bb1f06a997c3f5797,2220601,[イージーモーメント]相川千夏,,72,相川千夏,Cool,R,False,161,43,82,56,85,13,2960,2120,7770,5565,ｼﾝﾌﾟﾙﾃﾞﾏﾝﾄﾞ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
10,259502538c76ba040edf323f08ecf86c,2320602,[イージーモーメント]相川千夏+,,72,相川千夏,Cool,R+,True,161,43,82,56,85,13,3552,2544,11766,8428,ｼﾝﾌﾟﾙﾃﾞﾏﾝﾄﾞ,全ﾀｲﾌﾟのﾌﾛﾝﾄﾒﾝﾊﾞｰ及びﾊﾞｯｸﾒﾝﾊﾞｰ上位1人の攻 ﾗﾝﾀﾞﾑで大～特大ｱｯﾌﾟ,,False,False,2018/10/09 05:41:42
